iter	Passed	Remaining
411	4234	21460
412	4246	21459
413	4257	21454
414	4270	21455
415	4283	21457
416	4295	21454
417	4307	21454
418	4320	21456
419	4333	21461
420	4344	21455
421	4355	21446
422	4366	21438
423	4376	21426
424	4387	21421
425	4397	21409
426	4407	21398
427	4418	21389
428	4429	21382
429	4440	21375
430	4452	21371
431	4463	21366
432	4474	21361
433	4486	21355
434	4497	21348
435	4508	21342
436	4519	21334
437	4531	21333
438	4544	21333
439	4555	21328
440	4566	21320
441	4577	21314
442	4589	21309
443	4601	21305
444	4613	21306
445	4625	21301
446	4635	21288
447	4644	21273
448	4655	21266
449	4666	21259
450	4677	21248
451	4688	21241
452	4700	21240
453	4711	21233
454	4722	21225
455	4732	21214
456	4742	21201
457	4753	21195
458	4766	21194
459	4777	21188
460	4788	21180
461	4800	21176
462	4814	21180
463	4824	21169
464	4834	21157
465	4843	21142
466	4853	21129
467	4863	21118
468	4874	21108
469	4885	21099
470	4895	21088
471	4903	21068
472	4911	21049
473	4920	21029
474	4928	21011
475	4937	20993
476	4946	20977
477	4954	20957
478	4963	20941
479	4972	20925
480	4980	20907
481	4989	20890
482	4998	20874
483	5006	20855
484	5015	20835
485	5024	20820
486	5032	20800
487	5041	20784
488	5050	20769
489	5060	20757
490	5069	20744
491	5078	20725
492	5086	20708
493	5095	20690
494	5104	20677
495	5113	20658
496	5123	20647
497	5131	20631
498	5140	20614
499	5149	20597
500	5158	20583
501	5167	20566
502	5177	20553
503	5187	20544
504	5196	20530
505	5205	20514
506	5214	20498
507	5222	20478
508	5232	20466
509	5240	20449
510	5249	20434
511	5258	20416
512	5267	20402
513	5276	20388
514	5285	20371
515	5294	20358
516	5304	20345
517	5314	20336
518	5324	20321
519	5333	20309
520	5343	20297
521	5352	20281
522	5363	20273
523	5373	20263
524	5385	20258
525	5396	20252
526	5404	20234
527	5412	20216
528	5420	20197
529	5433	20196
530	5444	20187
531	5453	20175
532	5463	20162
533	5472	20149
534	5482	20136
535	5491	20122
536	5500	20107
537	5509	20092
538	5517	20074
539	5527	20062
540	5535	20042
541	5544	20030
542	5553	20015
543	5562	20001
544	5573	19992
545	5582	19977
546	5594	19972
547	5602	19957
548	5612	19945
549	5621	19931
550	5631	19919
551	5640	19903
552	5649	19889
553	5658	19875
554	5666	19857
555	5675	19842
556	5684	19828
557	5692	19811
558	5701	19798
559	5711	19784
560	5720	19771
561	5729	19757
562	5738	19744
563	5747	19729
564	5755	19712
565	5764	19698
566	5773	19684
567	5782	19669
568	5791	19653
569	5799	19637
570	5808	19621
571	5816	19605
572	5824	19587
573	5833	19573
574	5841	19557
575	5850	19542
576	5858	19526
577	5867	19511
578	5876	19497
579	5885	19481
580	5894	19468
581	5903	19455
582	5912	19441
583	5922	19430
584	5930	19415
585	5939	19399
586	5947	19383
587	5957	19370
588	5966	19356
589	5975	19342
590	5983	19328
591	5992	19314
592	6000	19297
593	6009	19282
594	6018	19269
595	6028	19257
596	6037	19244
597	6048	19236
598	6060	19233
599	6070	19223
600	6079	19210
601	6090	19203
602	6099	19189
603	6109	19177
604	6118	19165
605	6128	19153
606	6137	19140
607	6145	19125
608	6154	19111
609	6163	19097
610	6172	19083
611	6182	19071
612	6192	19063
613	6204	19058
614	6215	19049
615	6225	19040
616	6235	19031
617	6245	19019
618	6253	19004
619	6263	18992
620	6273	18981
621	6282	18969
622	6291	18954
623	6301	18944
624	6310	18932
625	6320	18919
626	6329	18906
627	6337	18891
628	6346	18877
629	6354	18862
